benchmark_id,platform_type,benchmark,split,task
m2w_domain,web,Mind2Web,test,Follow SpaceX and like and bookmark the latest tweet.
m2w_domain,web,Mind2Web,test,Update the quantity to 5 for the  Souvenir sheet in the shopping cart.
m2w_domain,web,Mind2Web,test,Create a new portfolio called AI and add one AI stock to it.
m2w_domain,web,Mind2Web,test,Check the availability for a service of Lawn Mower repair which does not start
m2w_domain,web,Mind2Web,test,Find the largest size unit at BIRMINGHAM SELF STORAGE AT 720 MONTCLAIR RD and view the size description and size help.
m2w_domain,web,Mind2Web,test,find RV storage near you sorted by location with controlled climate
m2w_domain,web,Mind2Web,test,"Find a small storage near Albany, New York location."
m2w_domain,web,Mind2Web,test,Find and join community of Fortnite with most members.
m2w_domain,web,Mind2Web,test,"Create a post on Cryptocurrency suggestions and save it as a draft with the content ""Please suggest crypto trading which is profitable."""
m2w_domain,web,Mind2Web,test,"Start and save as a draft a post titled ""Post"" with nothing written on it"
m2w_domain,web,Mind2Web,test,Search for a comment about hip hop on the post about meme with the most  comments from the last week
m2w_domain,web,Mind2Web,test,"Browse housing options near University of California, Los Angeles that is rated at least 4 stars and included Wi-Fi"
m2w_domain,web,Mind2Web,test,Browse chicken soup recipes that can be made with Instant Pot.
m2w_domain,web,Mind2Web,test,Find a grocery store cashier job in Florida.
m2w_domain,web,Mind2Web,test,"Look and apply if found, a Job in Zoho Corporation in Human resource for a salary above 30k for a master's degree holder."
m2w_domain,web,Mind2Web,test,Find reviews for Calico Life Science and mark a review which is helpful.
m2w_domain,web,Mind2Web,test,Search for remote software engineer jobs in United States
m2w_domain,web,Mind2Web,test,Search and join a group about diabetes
m2w_domain,web,Mind2Web,test,What are the similar names to the name carl
m2w_domain,web,Mind2Web,test,Show me community posts about pregnancy fever from the past 30 days
m2w_domain,web,Mind2Web,test,Get help planning your move by finding Loading & Towing tips
m2w_domain,web,Mind2Web,test,"Get a quote for a pick up in Detroit, MI and drop of in Cleveland, OH on April 12th for a 12 foot truck."
m2w_domain,web,Mind2Web,test,Go to the page with information on how to load a moving truck.
m2w_domain,web,Mind2Web,test,View the Truck Side-By-Side Comparison Chart and then select the truck that is good for moving 3-5 rooms
m2w_domain,web,Mind2Web,test,Get a moving quote for a 12 foot truck from Oregon to Cleveland.
m2w_domain,web,Mind2Web,test,Find the internships/Research opportunities in summer that are off campus.
m2w_domain,web,Mind2Web,test,Find registration deadlines for fall 2024 academic term
m2w_domain,web,Mind2Web,test,Find tuition & fees for full term graduate students in the college of engineering for the academic year 2022-2023
m2w_domain,web,Mind2Web,test,Find the time and location of the first available Campus Tour in April 2023 for First-Year Prospective students
m2w_domain,web,Mind2Web,test,Check whether there is any Undergraduate Information Session for First-Year Direct Entry into the bachelor school of nursing program
m2w_domain,web,Mind2Web,test,Search for LSA courde Guide
m2w_domain,web,Mind2Web,test,Get the information of Tution Fees for a full time course for undergrad study in college of Engineering
m2w_domain,web,Mind2Web,test,Find the list of undergraduate majors and degrees for the schools of public health and public policy
m2w_domain,web,Mind2Web,test,Find a class for animal science in The ohio state university
m2w_domain,web,Mind2Web,test,"Find the closing stock price for Tesla on March 17, 2023."
m2w_domain,web,Mind2Web,test,Find the list for High-Yield Dividend Stocks and share it on Twitter
m2w_domain,web,Mind2Web,test,Open chart for BTC-USD.
m2w_domain,web,Mind2Web,test,Create a new portfolio called Tech and add Microsfot.
m2w_domain,web,Mind2Web,test,Find a doctor for back pain in Rochester
m2w_domain,web,Mind2Web,test,Show me jobs for MBA & Graduate Internships.
m2w_domain,web,Mind2Web,test,Show me all opening for sam's club jobs
m2w_domain,web,Mind2Web,test,Find jobs available in Atlanta as a software engineer.
m2w_domain,web,Mind2Web,test,Find support services jobs in Bentonville in the state of Arkansas.
m2w_domain,web,Mind2Web,test,Join a Cryptocurrencies public room.
m2w_domain,web,Mind2Web,test,View the chart for the stock TSLA and adjust the time frame to show the past 6 months.
m2w_domain,web,Mind2Web,test,Create an alert for Tesla stock for when the price drops below $300
m2w_domain,web,Mind2Web,test,Start following the @amazon twitter account
m2w_domain,web,Mind2Web,test,Follow the Dallas Cowboys twitter account.
m2w_domain,web,Mind2Web,test,"compare two rooms from the lowest  Student accommodation in Ann Arbor, university of Michigan North Campus"
m2w_domain,web,Mind2Web,test,Find me sweet snacks for vegetarians that can be done in more than 5 minutes
m2w_domain,web,Mind2Web,test,Show me the causes and risks for bipolar disorder.
m2w_domain,web,Mind2Web,test,Join the mindful eating challenge.
m2w_domain,web,Mind2Web,test,Find an article about treatment options of acid influx and vote the article as helpful and informative.
m2w_domain,web,Mind2Web,test,"Take a weight management quiz to find a motivating article for a non excersizing, mostly eating out and can't control portions and cravings, and who has a strong support system, enjoys traveling, loves family time and cooking."
m2w_domain,web,Mind2Web,test,Check reviews of SSM Health Cardinal Glennon Children's Hospital.
m2w_domain,web,Mind2Web,test,"Find acupunctures within 50 miles from Mountain Pass, CA that accept Blue Cross Blue Shield PPO insurance plan."
m2w_domain,web,Mind2Web,test,"Find the highest-rated doctor for knee replacement near Glendale, New York, who is between 40-50 years of age, is available within 2 weeks, and can converse in Chinese."
m2w_domain,web,Mind2Web,test,"Schedule an appointment for motorcycle Knowledge test at 8:30 AM on Apr 18 at the Abingdon office. My name is James Smith, email is abac@abc.com and mobile phone number is 888899778."
m2w_domain,web,Mind2Web,test,Browse the page with information about driver license eligibility for non residents.
m2w_domain,web,Mind2Web,test,Find out how to transfer the title of vehicle when the owner is deceased.
m2w_domain,web,Mind2Web,test,Find out the next date  when the dmv  mobile office will be in highland?
m2w_domain,web,Mind2Web,test,Show Teen Driver Safety program information.
m2w_domain,web,Mind2Web,test,Submit request for vehicle registration renewal.
m2w_domain,web,Mind2Web,test,Find the requirements and Exemptions for emission Inspection
m2w_domain,web,Mind2Web,test,Find a study guide to practice for the driving test.
m2w_domain,web,Mind2Web,test,Find a DMV center in Richmond
m2w_domain,web,Mind2Web,test,Find the nearest location to zip code 54620 that offers size 4 P.O. Boxes.
m2w_domain,web,Mind2Web,test,Calculate the price to ship a large flat rate box from 77449 to 77084 at the first available date and time.
m2w_domain,web,Mind2Web,test,"Search for Calico Life Science company and follow, like the first post."
m2w_domain,web,Mind2Web,test,Find Data Entry or similar jobs and save two of them.
m2w_domain,web,Mind2Web,test,Find Customer Support or most related job in New York.
m2w_domain,web,Mind2Web,test,Find LinkedIn Learning page and subscribe for the newsletter.
m2w_domain,web,Mind2Web,test,Show me historical data for EUR/USD.
m2w_domain,web,Mind2Web,test,Follow the Microsoft Corporation
m2w_domain,web,Mind2Web,test,Find the most recent press release by NVIDIA Corporation within the last 7 days.
m2w_domain,web,Mind2Web,test,Give a thumbs up to the top comment about Microsoft stock
m2w_domain,web,Mind2Web,test,Browse apartments with at least 2 bedrooms and 2 bathrooms and a max price of $4000 per month.
m2w_domain,web,Mind2Web,test,Browse job listings for a solar panel installer and hide duplicates
m2w_domain,web,Mind2Web,test,"Browse couches for sale, sort by cheapest and search in titles only."
m2w_domain,web,Mind2Web,test,Browse piano lessons and display listings in map view
m2w_domain,web,Mind2Web,test,Show apartments for rent in Indianapolis with 2 bedrooms from least to most expensive.
m2w_domain,web,Mind2Web,test,Create a free alert for a Jack Russell Terrier dog near zip code 10019 sending to buckeye.foobar@gmail.com
m2w_domain,web,Mind2Web,test,Find a quick and easy European chicken bruch recipe sorted by make again percentage.
m2w_domain,web,Mind2Web,test,"Find a job as Data Analyst in New York City with salary above $91,000."
m2w_domain,web,Mind2Web,test,Find popular baby names for a boy and sort in A-Z.
m2w_domain,web,Mind2Web,test,What are the newest Getting Pregnant groups?
m2w_domain,web,Mind2Web,test,Calculate my next menstruation date with my last circle being on 16th March for 22days.
m2w_domain,web,Mind2Web,test,Disable the Email Notification
m2w_domain,web,Mind2Web,test,Create a Fitness board.
m2w_domain,web,Mind2Web,test,Turn off the pins I saw today.
m2w_domain,web,Mind2Web,test,Browse male outfit ideas for a beach vacation.
m2w_domain,web,Mind2Web,test,Follow a profile from the low poly category.
m2w_domain,web,Mind2Web,test,Disable Autoplay feature for videos
m2w_domain,web,Mind2Web,test,Get the share link of the pinner Sticker Mania
m2w_domain,web,Mind2Web,test,Download 5 good Christian quotes
m2w_domain,web,Mind2Web,test,Find 2 bodyweight workout routines and save them.
m2w_domain,web,Mind2Web,test,Save on my pins a Halloween costume image.
m2w_domain,web,Mind2Web,test,Find the active storms and the current status
m2w_domain,web,Mind2Web,test,"Check the daily forecast in Madison, WI from March 21 - April 1, 2023."
m2w_domain,web,Mind2Web,test,I want to see the past hurricanes in the indian ocean in 2020
m2w_domain,web,Mind2Web,test,Browse list of Civil Division forms.
m2w_domain,web,Mind2Web,test,Find press releases by antitrust division in 2022
m2w_domain,web,Mind2Web,test,Find an internship in the science and technology industry for a bachelor in Dayton and save the top job.
m2w_domain,web,Mind2Web,test,Browse marketing jobs and filter by Bachelor's Degree education level
m2w_domain,web,Mind2Web,test,Find the Hiring Guide to hire a small scale business
m2w_domain,web,Mind2Web,test,"Search for early care and education programs for all programs and step up to quality rating with transportation on Saturday from 6 am to noon in Midland, Clinton county, Ohio."
m2w_domain,web,Mind2Web,test,Find the Eligibility details to qualify for Medicaid. The person looking for it has 1 people in household and monthly household income of 1000 USD and zip code of 32350. The person is not pregnant and older or equal to 18. The person is not receving medicare or not age 65 or older. Neither the person nor his/her spouse ever served/are serving in the U.s.military.
m2w_domain,web,Mind2Web,test,Find a recipe for vegetable soup and then follow the author of the recipe.
m2w_domain,web,Mind2Web,test,Find a recipe that includes eggplant and mushrooms.
m2w_domain,web,Mind2Web,test,Find programs offered in Neuroscience Department.
m2w_domain,web,Mind2Web,test,Find florida internship programs in the Mayo Clinic College of Medicine and Science
m2w_domain,web,Mind2Web,test,Find possible causes for the symptoms chest pain which is sharp which is accompanied by  anxiety.
m2w_domain,web,Mind2Web,test,Find tuition fees for M.D. Program.
m2w_domain,web,Mind2Web,test,Show me Diagnoses & Treatment for Female infertility
m2w_domain,web,Mind2Web,test,"Find a female MD Cardiologist in Jacksonville, Florida."
m2w_domain,web,Mind2Web,test,What are the Symptoms and causes of fever?
m2w_domain,web,Mind2Web,test,I want to know about the faculty and staff of the airway biology laboratory
m2w_domain,web,Mind2Web,test,Save a rising post on a community about work
m2w_domain,web,Mind2Web,test,Find the comments made by the user Separate-Camp7202.
m2w_domain,web,Mind2Web,test,Find the stock price for WWE over the last month.
m2w_domain,web,Mind2Web,test,Use the search function to find the current stock and percentage change of AMC stock
m2w_domain,web,Mind2Web,test,Check Europe market of 1 Year chart.
m2w_domain,web,Mind2Web,test,"Look for a lowest priced entire place of my own for booking in Glasgow, which has gas, heating, cleaning services and gym."
m2w_domain,web,Mind2Web,test,Look for a part-time job in Amazon delivery station in Columbus for delivery services and save this job to my profile.
m2w_domain,web,Mind2Web,test,Open the reviews for a Mc Donald's.
m2w_domain,web,Mind2Web,test,Show me the reviews for the auto repair business closest to 10002
m2w_domain,web,Mind2Web,test,Open the page to learn more about how to get accredited.
m2w_domain,web,Mind2Web,test,Look for the best rated BBB accredited charity near 12023
m2w_domain,web,Mind2Web,test,Find contact information for a  roofing contractor that specializes in bathroom remodel with A BBB rating near Hillsboro Oregon.
m2w_domain,web,Mind2Web,test,Find the number of scams reported this week for scammers using the name Amazon.
m2w_domain,web,Mind2Web,test,Go to the US page to report a scam or fraud.
m2w_domain,web,Mind2Web,test,Look up if the phone number 555555555 is a scam
m2w_domain,web,Mind2Web,test,"Find a  Landscape Contractors near Milwaukee, WI that specialize in fire pits."
m2w_domain,web,Mind2Web,test,Add Tesla stock to watchlist.
m2w_domain,web,Mind2Web,test,Find current price and follow Euro currency.
m2w_domain,web,Mind2Web,test,Add Google stock to a watch list.
m2w_domain,web,Mind2Web,test,Follow 1 stock from the gainers list.
m2w_domain,web,Mind2Web,test,"Find the pencil drawing courses having the rating 5 and sort 
then them by highest rating"
m2w_domain,web,Mind2Web,test,"Look for the latest posted undeveloped land, farm, and ranches under 10 acres in Dallas County, Iowa, and save my search with instant update option for later usage."
m2w_domain,web,Mind2Web,test,"Show houses for sale in Maryland with maximum price of $60,000."
m2w_domain,web,Mind2Web,test,"Find homes for auction in Wagoner County, Oklahoma, and contact the seller of the tiniest land."
m2w_domain,web,Mind2Web,test,"Find Farms land in Wilkes County, NC with lowest price."
m2w_domain,web,Mind2Web,test,Find the closest drop off location to zip code 90028
m2w_domain,web,Mind2Web,test,Find a staffed FedEx location near zip code 10019 to return a package
m2w_domain,web,Mind2Web,test,"check large printing cost for Architecture, Construction & Engineering in paper size 18*24, full color in portrait with left edge binding."
m2w_domain,web,Mind2Web,test,Browse web design jobs and filter by Entry level
m2w_domain,web,Mind2Web,test,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
m2w_domain,web,Mind2Web,test,Browse medium sized climate-controlled storage units in Los Angeles.
m2w_domain,web,Mind2Web,test,Update from a 15' truck to a 20' truck and get new quote.
m2w_domain,web,Mind2Web,test,Find a home for rent in Anchorage Alaska for less than 800$/month.
m2w_domain,web,Mind2Web,test,"Find a mobile home for sale in Hanover PA, that is not pending."
m2w_domain,web,Mind2Web,test,"Find newly constructed homes for sale within 10 miles of zip 11001, with prices between 350k to 550k for a single family with 1 bedroom and 1 bathroom."
m2w_domain,web,Mind2Web,test,"Find the lowest price land in Huntsville, Alabama within the 150k to 250 price range and request an in-person visit on March 26, 9 am."
m2w_domain,web,Mind2Web,test,Sign up for the Gut Check Challenge with the email address of buck19915@gmail.com.
m2w_domain,web,Mind2Web,test,"Take a newsletter subscription with my email id (buckeye.foobar@gmail.com) for Allergies and asthma, Anxiety and depression, nutrition, diabetes, breast cancer, and migraine with email id."
m2w_domain,web,Mind2Web,test,Browse articles for breast cancer treatments.
m2w_domain,web,Mind2Web,test,Find details about the benefits of 20 weeks of fully paid leave.
m2w_domain,web,Mind2Web,test,"Find Fulfillment Center jobs within 50 miles of Lincoln, NE, USA."
m2w_domain,web,Mind2Web,test,search regular daytime jobs around 44278 that I can start within a week or two.
m2w_domain,web,Mind2Web,test,Search for night shift job as a associate.
m2w_domain,web,Mind2Web,test,"Find available jobs in Omaha and apply to Thu, Fri, Sat shift jobs in fullfilment center if available."
m2w_domain,web,Mind2Web,test,Find a vegan diet to lose weight
m2w_domain,web,Mind2Web,test,What are the side effects of amoxicillin?
m2w_domain,web,Mind2Web,test,Find healthy savory vegan snack recipes which can be cooked within 5 minutes and contain a high level of protein.
m2w_domain,web,Mind2Web,test,Find a list of topics about sleep disorders.
m2w_domain,web,Mind2Web,test,Show me information about treatments for IBD
m2w_domain,web,Mind2Web,test,"Schedule a one-time pickup for today for a package. Pay with mastercard 4564456745689874, cvv 265 expire at 01/26."
m2w_domain,web,Mind2Web,test,Find jobs in Retail positions in United States.
m2w_domain,web,Mind2Web,test,Find out how to schedule a recurring pickup
m2w_domain,web,Mind2Web,test,calculate rate for LTL class 50 food shipment with 2 5000lb in cartons worth $20000 with residential pickup and delivery from Chicago to Kansas city on March 30th.
m2w_domain,web,Mind2Web,test,"Display the search results for pill 123456, white and round."
m2w_domain,web,Mind2Web,test,Find white young male german shepherd dogs within 50 miles of zip 78613.
m2w_domain,web,Mind2Web,test,Find an adult husky near zip code 10019.
m2w_domain,web,Mind2Web,test,Show Equity Screener for Mid Cap in Healthcare sector.
m2w_domain,web,Mind2Web,test,Add to my wishlist the most expensive option to rent in New york
m2w_domain,web,Mind2Web,test,What are the beginner favorites startup courses
m2w_domain,web,Mind2Web,test,Show me the latest Public Speaking Courses rated 4.5 or greater.
m2w_domain,web,Mind2Web,test,Sign up for new tutors.
m2w_domain,web,Mind2Web,test,Search for newest Linux Administraion courses with 4.5 rating.
m2w_domain,web,Mind2Web,test,Find  meditation and sound therapy rated 3.5 and up between 1-3 hours for beginners with French subtitles.
m2w_domain,web,Mind2Web,test,check the most recent full time medical health and safety jobs available in the US
m2w_domain,web,Mind2Web,test,learn more about Apprenticeships & Certifications program
m2w_domain,web,Mind2Web,test,Find private room accommodation rentals near University of Oxford.
m2w_domain,web,Mind2Web,test,Check employee reviews and ratings for Microsoft.
m2w_domain,web,Mind2Web,test,Find the procedure to get the Doctoral Loan and when the application will open for the year 2023
m2w_domain,web,Mind2Web,test,Show information regarding Carer's Credit for Disabled people.
m2w_domain,web,Mind2Web,test,Show me current alerts.
m2w_domain,web,Mind2Web,test,Find eligibility for Jobseeker's Allowance (JSA).
m2w_domain,web,Mind2Web,test,Find a sales executive job in Manchester
m2w_domain,web,Mind2Web,test,Show me the liked posts from a user that has recently posted about btc
m2w_domain,web,Mind2Web,test,Estimate the cost of a photographer in 07055 for a 4 hour project
m2w_domain,web,Mind2Web,test,Find a private dog training service for aggressive behavior modification like barking and biting near 90011 and book a session for 1-year-old medium sized dog at my home only during weekends.
m2w_domain,web,Mind2Web,test,find landscaper service and get a quote to remove trees and include help to identify items to be removed at my home.
m2w_domain,web,Mind2Web,test,Browse for pets to adopt and only show listings with images
m2w_domain,web,Mind2Web,test,Find a full time copywriter job in New York City and apply with my details.
m2w_domain,web,Mind2Web,test,Get the email address of anyone who has poted a listing today for theatre tickets for the show A Doll's House within 50 miles of the zip code 10001.
m2w_domain,web,Mind2Web,test,Browse dog friendly vacation rentals that offer air conditioning and a carport.
m2w_domain,web,Mind2Web,test,Browse washing machines for sale and only show listings posted today
m2w_domain,web,Mind2Web,test,"Browse Iphone X for sale that are in good condition, has a max price of 400, and search in titles only."
m2w_domain,web,Mind2Web,test,Search for a part-time job as a cashier.
m2w_domain,web,Mind2Web,test,"Find the newest garage sale in Phoenix, Arizona, on March 31 and print the details of the garage sale, which is selling old toys."
m2w_domain,web,Mind2Web,test,Show all the jobs available with extraspace.
m2w_domain,web,Mind2Web,test,Calculate which size storage is required for BMW X3 2020 model.
m2w_domain,web,Mind2Web,test,Add moving box with part number SS-703 to cart
m2w_domain,web,Mind2Web,test,Find a 8x8 storage unit for rent near zip code 90028
m2w_domain,web,Mind2Web,test,Calculate a Fedex Ground shipping rate for a 3 pound package from zip code 10019 to zip code 90028.
m2w_domain,web,Mind2Web,test,search for Good sources of potassium for toddlers
m2w_domain,web,Mind2Web,test,Find the price of Best Organic twin mattress for kids
m2w_domain,web,Mind2Web,test,Show me only the top 100 baby boy names
m2w_domain,web,Mind2Web,test,Find the 1 month stock price chart of AMC.
m2w_domain,web,Mind2Web,test,Find a list of climate leaders and share it on Twitter.
m2w_domain,web,Mind2Web,test,Find the latest news about Bitcoin.
m2w_domain,web,Mind2Web,test,Open the page for finding a local court.
m2w_domain,web,Mind2Web,test,Show teaching jobs available in London.
m2w_domain,web,Mind2Web,test,Find the Eligibility to get the child benefit and How it works and how to claim
m2w_domain,web,Mind2Web,test,Show me the newest farm and ranches in California
m2w_domain,web,Mind2Web,test,"Find an easy-to-follow evidence-based nutritious vegetarian diet to lose weight for a diabetic and heart patient, and sign-up to get the results by email buckeye.foodbar@gym."
m2w_domain,web,Mind2Web,test,Find the symptoms of acid reflux.
m2w_domain,web,Mind2Web,test,"Find the highest-rated primary care female doctor specialist in internal medicine in Milwaukee, who is available tommorrow and accepts Cigna insurance."
m2w_domain,web,Mind2Web,test,"Find the radar map for Los Angeles, CA."
m2w_domain,web,Mind2Web,test,Find a cheapest accomodation near Tokyo International University for moving in July and moving out in December and which provides private room with wifi and laundry services.
m2w_domain,web,Mind2Web,test,Find the course curriculum for Meeting physical milestone through play and download course pdfs
m2w_domain,web,Mind2Web,test,Calculate the due date for someone who had their last period on jan 23 and has a 30 days cicle
m2w_domain,web,Mind2Web,test,"Find and view contact details of  the newest parking spot for rent in Austin, Texas within 10 miles of zip 78563 and in a budget of 50 to 150 dollars with an air conditioning facility."
m2w_domain,web,Mind2Web,test,Search for a babysitter service.
m2w_domain,web,Mind2Web,test,Show me a list of antiques for sale sorted by oldest.
m2w_domain,web,Mind2Web,test,Browse apartment listings with at least 2 bedrooms and filter search by title only for the search keyword: laundry
m2w_domain,web,Mind2Web,test,"Find furnished housing ads with images for rent within 30 days in New York without broker fees, the house should have a minimum of one bedroom and bathroom with an attached garage, choose the lowest price house and print the details."
m2w_domain,web,Mind2Web,test,Show me a list of health related courses sorted by lowest price.
m2w_domain,web,Mind2Web,test,Find need based undergraduate scholarships for African American females from Arizona who are applying to Arizona schools
m2w_domain,web,Mind2Web,test,Find the best ranked Asian university for arts programs
m2w_domain,web,Mind2Web,test,Add Princeton University to a list of favorite schools
m2w_domain,web,Mind2Web,test,Find and compare the top three best ranked business schools for MBA finance
m2w_domain,web,Mind2Web,test,"View availible shifts for the highest paying job opening for Amazon Delivery Station Warehouse Associate - Capitol Hill/Seattle, WA"
m2w_domain,web,Mind2Web,test,Search for full-time pharmacy customer service jobs available in Phoenix and apply to the latest job.
m2w_domain,web,Mind2Web,test,"Find a regular delivery station associate job in New Windsor, Ontario and apply."
m2w_domain,web,Mind2Web,test,Search for Mainecoon cats near zip code 21122.
m2w_domain,web,Mind2Web,test,"Search for a Job as a delivery driver within 100 miles of California, and apply to the highest paying job above at least 22 dollars per hour."
m2w_domain,web,Mind2Web,test,"apply for a delivery driving job at Grand Rapids, MI, USA. Name: Nelson Freeman, Email: Nelsonfree@gmail.com, phone: 2034556656. Select ""yes"" for all options"
m2w_domain,web,Mind2Web,test,"Look for a job state-wise and search for an available job in Madison, Wisconsin, if available, apply for the job and if not apply to any job in Omaha."
m2w_domain,web,Mind2Web,test,search Amazon Pharmacy for available IT full time job in Massachusetts
m2w_domain,web,Mind2Web,test,View the most recent job posting for a full time pharmacy position in the US.
m2w_domain,web,Mind2Web,test,Find a job in Fulfillment Center Warehouse and signup for alerts to email abc@abc.com.
m2w_domain,web,Mind2Web,test,Learn how to get started with the Military Mentoring Program.
m2w_domain,web,Mind2Web,test,"Browse trailer hitches for a 2015 Honda Civic Sedan for pickup at a U-Haul location in zip code 10019 on Apr 19, 2023."
m2w_domain,web,Mind2Web,test,View the historical data of Litecoin for the last 90 days.
m2w_domain,web,Mind2Web,test,Find the ongoing crypto airdrops.
m2w_domain,web,Mind2Web,test,Find the app for android.
m2w_domain,web,Mind2Web,test,"Leave a comment on a recipe for chicken parmesan, asking if it can be made in an air fryer."
m2w_domain,web,Mind2Web,test,Find dinner meals containing lamb.
m2w_domain,web,Mind2Web,test,"Show me a list of recipes that contain chicken, but without rice."
m2w_domain,web,Mind2Web,test,"Leave a comment on a recipe for orange shrimp skewers: ""It's good to use orange on shrimps!"" and share the recipe on twitter."
m2w_domain,web,Mind2Web,test,Find Indian Community and check for recipe with a vegetable that is in season.
m2w_domain,web,Mind2Web,test,"Apply to get the Job Skills of 2023 Report eBook. Name: John Doe, Job: Accounting, Email: Johndoe@gmail.com, Phone number: 234567890, Institution: University of Michigan, Primary Discipline: Accountin
g"
m2w_domain,web,Mind2Web,test,Enroll in an advanced course offered by deeplearning.ai.
m2w_domain,web,Mind2Web,test,search for a free business course that covers advanced accounting and lasts between 1 and 3 months.
m2w_domain,web,Mind2Web,test,"book a Group Enquiry of 10 student in the university of New south wales, Australia with AUD 100-500 per month budget, from Apr 8th, 2023 to Match 30th, 2024. Name: John Brown, phone: 3324456543, email: Johnbrown@gmail.com"
m2w_domain,web,Mind2Web,test,Find out how to view an old tax return
m2w_domain,web,Mind2Web,test,Find the top post of this month and downvote the oldest comment on it
m2w_domain,web,Mind2Web,test,Open AskReddit community and filter this month's top posts by Breaking News flair
m2w_domain,web,Mind2Web,test,Show me the popularity in 2015 of the current most popular baby girl name
m2w_domain,web,Mind2Web,test,Browse dermatologists near zip code 90028 that treats children.
m2w_domain,web,Mind2Web,test,Browse vegan pizza recipes that take 30 minutes or less.
m2w_domain,web,Mind2Web,test,Browse Halloween dishes sorted by rating.
m2w_domain,web,Mind2Web,test,Find pie recipes and show the best rated ones.
m2w_domain,web,Mind2Web,test,Find burger recipes that use chicken as an ingredient.
m2w_domain,web,Mind2Web,test,Open expert tips on how to clean an oven.
m2w_domain,web,Mind2Web,test,Browse the climate leaders stocks
m2w_domain,web,Mind2Web,test,Follow Walt Disney stock.
m2w_domain,web,Mind2Web,test,Compare Tesla and Ford stocks over the past 6 months
